aura_type,spell_id,name,applications
DEBUFF,270931,Shadow Volley,86
DEBUFF,1249481,Carrion Swoop,86
DEBUFF,1299913,Null Eruption,86
DEBUFF,350804,Collapsing Energy,84
BUFF,389512,Bronze Dragonflight Pledge Pin,84
BUFF,1249714,Umbral Barrier,84
DEBUFF,1287544,Stunned,84
DEBUFF,1289109,Thunder Spit,84
DEBUFF,263958,A Knot of Snakes,83
DEBUFF,395292,Fire Maw,83
DEBUFF,1235829,Winter's Shroud,83
DEBUFF,50285,Dust Cloud,82
BUFF,1228351,Unfathomable Strikes,82
DEBUFF,1289588,Thunder Spit,82
BUFF,1303372,Searing Gold,82
BUFF,1306852,Toxic Surge,82
DEBUFF,1228127,Macestorm,80
DEBUFF,1240280,Pulverize,80
DEBUFF,1302028,Soul Crush,80
DEBUFF,1302826,Corruption Burst,80
DEBUFF,1310309,Macestorm,80
DEBUFF,378011,Deadly Winds,79
DEBUFF,438618,Venomous Spit,79
DEBUFF,472888,Bone Hack,79
DEBUFF,1234833,Ravenous Swarm,79
DEBUFF,1235405,Bonespiked,79
DEBUFF,1247117,Shadow Jump,79
BUFF,1248689,Hastening Ward,79
DEBUFF,1252622,Flailstorm,79
BUFF,1234233,Spoiled Supplies,78
DEBUFF,1254687,Mark of Death,78
DEBUFF,1271511,Core Exposure,78
BUFF,1300876,Ritual of the Fang,78
DEBUFF,267874,Burning Ground,77
BUFF,1252054,Unmake,77
BUFF,1264095,Mirror Images,77
BUFF,1299135,Burrowing Charge,77
BUFF,268586,Blade Combo,76
BUFF,1217795,Burning Gale,76
BUFF,1234890,Smashing Charge,76
BUFF,1252622,Flailstorm,76
BUFF,1254096,Forfeit Essence,76
BUFF,1294770,Demonic Frenzy,76
BUFF,1301111,Axegrinder,76
DEBUFF,448492,Thunderclap,75
BUFF,471736,Jettison Kelp,75
DEBUFF,473224,Sonic Boom,75
DEBUFF,1264693,Terror Wave,75
DEBUFF,1298104,Putrid Seekers,75
BUFF,1218347,Murder in a Row,74
DEBUFF,1227247,Void Cascade,74
BUFF,1236709,Thorncaller Roar,74
BUFF,1259359,Devour the Unworthy,74
DEBUFF,1264671,Starfall,74
DEBUFF,472793,Heaving Yank,73
DEBUFF,1255763,Midnight Manifestation,73
BUFF,1255881,Netherwalk,73
DEBUFF,470212,Flaming Twisters,72
DEBUFF,1251626,Leyline Array,72
DEBUFF,1252816,Chill of Death,72
BUFF,1310321,Concussion,72
DEBUFF,350013,Gluttonous Feast,71
BUFF,389516,Black Dragonflight Pledge Pin,71
DEBUFF,429099,Overwhelmed,71
BUFF,468616,Leaping Spark,71
DEBUFF,468616,Leaping Spark,71
BUFF,474345,Refueling Protocol,70
DEBUFF,1214730,Demonic Gateway,70
DEBUFF,1214740,Demonic Gateway,70
BUFF,1217415,Felshield,70
BUFF,1257512,Corespark Detonation,70
DEBUFF,1262284,Overflowing Voidspire,70
DEBUFF,152953,Blinding Light,69
DEBUFF,1250812,Aura of Peace,69
DEBUFF,1259631,Staggering Blow,69
BUFF,270016,Released Inihibitors,68
BUFF,1240210,Pulverizing Strikes,68
DEBUFF,1246502,Avenger's Shield,68
DEBUFF,1268840,Seeping Void,68
DEBUFF,1303446,Tainted Strike,68
BUFF,1242960,Gang Up,67
DEBUFF,1255577,Spectral Slash,67
BUFF,1267029,Call The Grove,67
DEBUFF,1281727,Eradication,67
BUFF,1298221,Ssscavenging,67
BUFF,1298223,Ssscavenging,67
BUFF,1305982,Shadow Volley,67
BUFF,246913,Void Phased,66
DEBUFF,462737,Black Blood Wound,66
BUFF,1263756,Death's Grasp,66
BUFF,1301199,Defiling Taint,66
DEBUFF,1297749,Frozen Tempest,65
DEBUFF,1297918,Mortal Bleed,65
BUFF,159382,Searing Quills,64
DEBUFF,263423,Lock Jaw,64
DEBUFF,392641,Rolling Thunder,64
BUFF,1300907,Consumed Lifeforce,64
DEBUFF,1310378,Scent of Blood,64
DEBUFF,263852,Talon Rend,63
DEBUFF,269972,Hex Volley,63
BUFF,397354,Life Infusion,63
DEBUFF,474515,Heartstop Poison,63
DEBUFF,1250828,Void Exposure,63
BUFF,1257268,Forfeit Essence,63
BUFF,1303324,Quaking Leap,63
BUFF,1310355,Tempest Stormshield,63
DEBUFF,1239414,Tear Asunder,62
DEBUFF,1245068,Consuming Void,62
DEBUFF,1247976,Lightscar Flare,62
BUFF,1248452,Aura of Peace,62
BUFF,1250851,Shield Wall,62
BUFF,1262526,Abyssal Enhancement,62
DEBUFF,1281785,Domineering Energy,62
BUFF,1296738,Hatch,62
DEBUFF,1303039,Hunting Leap,62
DEBUFF,1306763,Serpent Strike,62
DEBUFF,474388,Flamethrower,61
DEBUFF,1214637,Axe Toss,61
BUFF,1214641,Axe Toss,61
BUFF,1217989,Felshield,61
DEBUFF,1237091,Bloodthirsty Gaze,61
DEBUFF,1237092,Bloodthirsty Gaze,61
BUFF,1297686,Dark Pact,61
DEBUFF,1310974,Toxic Atrophy,61
BUFF,269232,Hunting Leap,60
BUFF,397356,Nature Infusion,60
BUFF,452469,Mending the Cracks,60
DEBUFF,468966,Polymorph,60
DEBUFF,473287,Excessive Electrification,60
DEBUFF,1256059,Rending Gore,60
DEBUFF,1263532,Void Storm,59
DEBUFF,1216985,Puncturing Bite,58
BUFF,1217464,Illicit Infusion,58
DEBUFF,1224865,Fatebound,58
BUFF,1231608,Alacrity,58
DEBUFF,1311778,Rip and Slice,58
DEBUFF,1225638,Loose Sparks,57
BUFF,1250021,Shell Guard,57
BUFF,1256387,Carrion Swoop,57
DEBUFF,1271956,Mirrored Rend,57
BUFF,1302007,Blade Dance,57
BUFF,5543,Fade Out,56
BUFF,372988,Ice Bulwark,56
BUFF,373680,Frost Overload,56
DEBUFF,468811,Gigazap,56
DEBUFF,1218465,Server,56
BUFF,1252877,Solar Infusion,56
BUFF,1259226,Focused Guard,56
DEBUFF,1259786,Ritual Sacrifice,56
BUFF,355640,Phalanx Field,55
DEBUFF,390918,Seed Detonation,55
BUFF,429091,Inner Fire,55
DEBUFF,474740,Murder in a Row,55
DEBUFF,1216954,Eye Beam,55
BUFF,1222693,Toxic Aura,55
DEBUFF,1248159,Hinder Quarry,55
BUFF,1256299,Over-infused,55
DEBUFF,1259789,Ritual Sacrifice,55
DEBUFF,1280355,Rakfang,55
DEBUFF,118345,Pulverize,54
BUFF,390297,Dormant,54
BUFF,452472,Earthen Might,54
DEBUFF,472662,Tempest Slash,54
BUFF,472736,Debilitating Shriek,54
DEBUFF,1241163,Void Feather,54
DEBUFF,1259794,Ritual Sacrifice,54
DEBUFF,1260030,Umbral Beams,54
BUFF,389521,Blue Dragonflight Pledge Pin,53
DEBUFF,468815,Gigazap,53
DEBUFF,135029,Water Jet,52
BUFF,355139,Invigorate,52
DEBUFF,468442,Billowing Wind,52
DEBUFF,1225135,Feedback,52
BUFF,1293420,Evolution Ritual,52
BUFF,1310320,Exhausted,52
DEBUFF,469799,Overcharge,51
DEBUFF,1253694,Concentrated Lightbeam,51
DEBUFF,1262253,Demoralizing Scream,51
DEBUFF,1264354,Luciferin Flare,51
DEBUFF,1245698,Alnsight,50
DEBUFF,1246487,Avenger's Shield,50
DEBUFF,1254373,Fearful Roar,50
DEBUFF,1260981,March of the Endless,50
DEBUFF,1282911,Bolt Gale,50
BUFF,1297326,Eternal Bond,50
BUFF,271562,Wail of Mourning,49
BUFF,474197,Demonic Rage,49
BUFF,474231,Burning Steps,49
DEBUFF,474528,Bolt Gale,49
BUFF,1279668,Shadow Lancer,49
DEBUFF,1310026,Atomized,49
DEBUFF,288962,Blood Bolt,48
DEBUFF,346961,Purging Field,48
DEBUFF,462771,Surveying Beam,48
DEBUFF,470022,Barreling Charge,48
DEBUFF,473836,Electrocrush,48
BUFF,1217383,Engorge,48
BUFF,1230304,Light Infusion,48
DEBUFF,1230304,Light Infusion,48
BUFF,1263529,Collapsing Void,48
DEBUFF,1265412,Destabilized,48
DEBUFF,1303490,Savage Maul,48
BUFF,474238,Illicit Infusion,47
DEBUFF,474238,Illicit Infusion,47
DEBUFF,1246751,Concentrated Lightbeam,47
DEBUFF,1258514,Blinding Light,47
BUFF,1265419,Notes of Despair,47
BUFF,1265997,Dirge of Despair,47
BUFF,1267207,Abyssal Lance,47
BUFF,1276948,Ice Barrage,47
BUFF,1282665,Void Lash,47
BUFF,1289229,Storm Blessed,47
BUFF,1310357,Toxic Barrage,47
DEBUFF,434830,Vile Webbing,46
BUFF,1253083,Create Bonfire,46
DEBUFF,1225205,Wave of Silence,45
BUFF,1234855,Insidious Aura,45
DEBUFF,1237728,Arcane Prison,45
DEBUFF,1253098,Domineering Presence,45
DEBUFF,1283335,Rampage,45
DEBUFF,1294958,Noxious Spray,45
BUFF,1308738,Overload,45
DEBUFF,1308838,Lightning Bite,45
DEBUFF,1247746,Thornspike,44
DEBUFF,1251569,Leaping Swipe,44
DEBUFF,35346,Warp Time,43
BUFF,465754,Flamethrower,43
BUFF,1235656,Frozen Tempest,43
BUFF,1258537,Summon Wyrms,43
DEBUFF,1288885,Tempest Winds,43
DEBUFF,1241844,Smashed,42
BUFF,1256276,Deep Corruption,42
DEBUFF,376781,Firestorm,41
BUFF,427596,Seal of Light's Fury,41
DEBUFF,473051,Rushing Tide,41
DEBUFF,1221483,Arcing Energy,41
BUFF,1226469,Malefic Empowerment,41
DEBUFF,1241162,Light Feather,41
DEBUFF,1242553,Void Remnants,41
DEBUFF,1270762,Shhhh!,41
BUFF,1285508,Blistering Fire,41
DEBUFF,244599,Dark Expulsion,40
DEBUFF,385313,Lightning Rod,40
DEBUFF,427473,Flamestrike,40
DEBUFF,1228151,Exposed Void,40
BUFF,1240214,Double Time,40
BUFF,1243002,Fury of the War God,40
DEBUFF,1243018,Concussive Shock,40
DEBUFF,1243273,Fury of the War God,40
BUFF,1253909,Soul Expulsion,40
DEBUFF,1283770,Defensive Protocol,40
DEBUFF,266231,Severing Axe,39
DEBUFF,267702,Entomb,39
BUFF,387453,Recall History,39
DEBUFF,432031,Grasping Blood,39
DEBUFF,1248652,Divine Toll,39
DEBUFF,1257123,Daze,39
BUFF,1261806,Siphoning Chill,39
DEBUFF,1269682,Aerial Assault,39
DEBUFF,1302945,Impaling Spear,39
BUFF,159118,Acidback,38
BUFF,270889,Overload,38
BUFF,388598,Ride Along,38
BUFF,1252976,Wildfire Imbuement,38
BUFF,1254246,Drain Shield,38
DEBUFF,266238,Shattered Defenses,37
DEBUFF,1239919,Lightfire Beams,37
DEBUFF,1254113,Fixate,37
DEBUFF,1261558,Lightscar Flare,37
DEBUFF,1310018,Ancient Guardian's Aid,37
BUFF,169650,Mounted,36
DEBUFF,248831,Dread Screech,36
DEBUFF,1219266,Freezing Trap,36
DEBUFF,1238708,Dark Rush,36
BUFF,1271986,Ren'dorei Projection,36
BUFF,1299053,Death Rattle,36
DEBUFF,1311981,Latent Hex,36
DEBUFF,263841,Petrifying Gaze,35
BUFF,427490,Ride Along,35
DEBUFF,1265540,Blackening Wounds,35
BUFF,1298903,Proof of Endurance,35
BUFF,463061,Bloodthirsty Cackle,34
DEBUFF,1241785,Tainted Blood,34
BUFF,355888,Hard Light Baton,33
DEBUFF,461487,Cultivated Poisons,33
DEBUFF,1243078,Burden of War,33
DEBUFF,1248697,Despotic Command,33
BUFF,1264987,Withering Miasma,33
DEBUFF,1266706,Haunting Remains,33
BUFF,1299270,Thundering Storm,33
BUFF,346296,Instability,32
BUFF,439333,Hunger,32
DEBUFF,468672,Pinch,32
BUFF,471733,Restorative Algae,32
BUFF,1259882,Ritual Drums,32
DEBUFF,1264467,Tail Lash,32
BUFF,1303105,Aerial Smash,32
BUFF,411060,New Niffen No-Sniffin' Tonic,31
BUFF,422785,Ride Along,31
DEBUFF,473713,Kinetic Explosive Gel,31
DEBUFF,1248211,Phase Slash,31
DEBUFF,1249621,Violent Sand,31
BUFF,1265999,Siphon Void,31
DEBUFF,1272527,Creep Spit,31
DEBUFF,1275687,Glacial Overload,31
DEBUFF,1296069,Regurgitate,31
DEBUFF,267027,Poison Spit,30
BUFF,270927,Bladestorm,30
DEBUFF,270927,Bladestorm,30
BUFF,391726,Storm Breath,30
DEBUFF,424430,Consecration,30
DEBUFF,433740,Infestation,30
DEBUFF,468631,Harpoon,30
DEBUFF,468723,Shock Water,30
DEBUFF,1248709,Oppressive Darkness,30
DEBUFF,1265938,Void Blast,30
BUFF,1287627,Searing Fel Flame,30
DEBUFF,1310361,Tempest Stormshield,30
DEBUFF,264206,Burrow,29
DEBUFF,384024,Hailbombs,29
DEBUFF,1201554,Seduction,29
BUFF,1231262,Felfire Core,29
BUFF,1254622,Watchful Gaze,29
DEBUFF,269369,Deathly Roar,28
DEBUFF,356548,Radiant Pulse,28
BUFF,384933,Ice Shield,28
BUFF,392569,Molten Blood,28
BUFF,468811,Gigazap,28
BUFF,468813,Gigazap,28
DEBUFF,1218466,Cleaner,28
DEBUFF,1218467,Entertainer,28
DEBUFF,1218468,Bouncer,28
DEBUFF,1238206,Volatile Fissure,28
BUFF,1245727,Alnshroud,28
BUFF,1246527,Awaken the Lightbloom,28
BUFF,1250708,Necrotic Convergence,28
BUFF,1251598,Deathshroud,28
DEBUFF,1253813,Fel Spray,28
DEBUFF,1256008,Hex,28
DEBUFF,1261531,Corrupting Essence,28
BUFF,1277556,Necrotic Convergence,28
BUFF,175670,Packing Explosive Ore,27
DEBUFF,472878,Sludge Claws,27
BUFF,1231234,Protected Core,27
DEBUFF,1250735,Mental Anguish,27
BUFF,1253320,Vicious Regrowth,27
DEBUFF,1278147,Plungedrop,27
BUFF,1294934,Noxious Spray,27
DEBUFF,1294934,Noxious Spray,27
BUFF,159786,Molten Hide,26
DEBUFF,1217384,Malefic Wave,26
BUFF,1228345,Madness of the Void,26
BUFF,1231497,Overgorged,26
BUFF,1237073,Lightcrazed Frenzy,26
BUFF,1300250,Devouring Might,26
DEBUFF,349999,Anima Detonation,25
DEBUFF,356560,Hyperlight Containment Cell,25
DEBUFF,358947,Burning Tar,25
BUFF,388599,Ride Along,25
BUFF,1236553,Fel Senses,25
BUFF,1241067,Spirits of the Vale,25
BUFF,1242244,Blight Propagation,25
DEBUFF,1257091,Corespark Surge,25
DEBUFF,1258586,Devouring Void,25
DEBUFF,1265334,Corespark Surge,25
DEBUFF,1265984,Lightscar Flare,25
BUFF,1272265,Mangling Claws,25
DEBUFF,1284531,Decay,25
DEBUFF,1311730,Disrupting Blast,25
DEBUFF,272655,Scouring Sand,24
BUFF,1217938,Light Infused,24
BUFF,1232012,Serrated Fists,24
BUFF,1235079,Satiated,24
BUFF,1235105,Overflowing Supplies,24
DEBUFF,1240097,Time Bomb,24
BUFF,1255702,Pitch Bulwark,24
DEBUFF,1262573,Ashen Benediction,24
DEBUFF,1277301,Unstable Form,24
DEBUFF,1281637,Dusk Frights,24
BUFF,1282875,Warp Speed,24
BUFF,1292035,Frenzy,24
DEBUFF,1293307,Addle Mind,24
BUFF,1309947,Harsh Winter,24
DEBUFF,1312569,Embalm,24
DEBUFF,357798,Hyperlight Containment Cell,23
DEBUFF,425556,Sanctified Ground,23
DEBUFF,1231494,Overgorged Burst,23
BUFF,1241693,Locust Swarm,23
BUFF,1247377,Oozing Xylem,23
BUFF,1249947,Bestial Wrath,23
BUFF,1249948,Bestial Wrath,23
BUFF,1251027,Gravely Wounded,23
DEBUFF,1255156,Fearsome Cry,23
BUFF,263938,Silverback,22
DEBUFF,378850,Arcane Salvo,22
BUFF,444728,Templar's Wrath,22
DEBUFF,466188,Thunder Punch,22
BUFF,1216607,Battery Discharge,22
DEBUFF,1227557,Devouring Cosmos,22
BUFF,1252117,Infused Strikes,22
BUFF,1272854,Divine Steed,22
DEBUFF,1273034,Bloodcurdling Shriek,22
BUFF,356133,Super Saison,21
DEBUFF,438825,Poisonous Cloud,21
BUFF,461805,Locked and Loaded,21
BUFF,473070,Awaken the Swamp,21
DEBUFF,1236787,Void Orb,21
DEBUFF,1245421,Gloomfield,21
DEBUFF,1255176,Void Glob,21
DEBUFF,1271579,Destabilizing Strikes,21
BUFF,1300888,Fang Empowered,21
DEBUFF,51490,Thunderstorm,20
BUFF,186254,Bestial Wrath,20
BUFF,266511,Capacitance,20
DEBUFF,270003,Suppression Slam,20
DEBUFF,350134,Infinite Breath,20
DEBUFF,351080,Hyperlight Jolt,20
BUFF,351088,Relic Link,20
DEBUFF,351088,Relic Link,20
BUFF,427342,Defend,20
BUFF,465420,High Ground,20
BUFF,465463,Turbo Charge,20
BUFF,471652,Broadcast Orders,20
DEBUFF,1227152,Warp Strike,20
BUFF,1248701,Consume Spirit,20
DEBUFF,1252933,Reality Break,20
BUFF,1252974,Dimming,20
DEBUFF,1294815,Shadowfrost Bolt,20
DEBUFF,1308100,Poisoned Cheap Shot,20
DEBUFF,1309416,Virulent Twister,20
BUFF,124009,Tiger Lust,19
DEBUFF,350885,Hyperlight Jolt,19
DEBUFF,373593,Frozen Solid,19
BUFF,388600,Ride Along,19
DEBUFF,1217526,Digestive Spittle,19
DEBUFF,1222202,Arcane Burn,19
BUFF,1249796,Shattered Sky,19
DEBUFF,355581,Crackle,18
BUFF,389501,Red Dragonflight Pledge Pin,18
BUFF,389536,Green Dragonflight Pledge Pin,18
BUFF,464240,Reflective Shield,18
DEBUFF,1226598,Warp,18
BUFF,1236811,Absorb Power,18
DEBUFF,1237267,Incise,18
DEBUFF,1245554,Gloomtouched,18
DEBUFF,1249609,Dark Rune,18
BUFF,1254719,Magma Burst,18
BUFF,1275702,[DNT] Generic Invis,18
BUFF,1275770,"[DNT] Hovering, Wreath, Medium",18
DEBUFF,346844,Alchemical Residue,17
BUFF,428916,Inner Fire,17
BUFF,460156,Jumpstart,17
DEBUFF,1217439,Toxic Regurgitation,17
BUFF,1221133,Hungering Rage,17
DEBUFF,1228133,Void Barrage,17
BUFF,1247180,Devoured,17
DEBUFF,1253030,Intimidating Shout,17
DEBUFF,1266188,Shadow Realm,17
DEBUFF,1296068,Conduct Lightning,17
DEBUFF,1604,Dazed,16
DEBUFF,6360,Whiplash,16
DEBUFF,369133,Unstable Goods,16
DEBUFF,433662,Grasping Blood,16
DEBUFF,1220671,Binding Javelin,16
DEBUFF,1255680,Gnashing Void,16
BUFF,1259647,W-47CH D0G,16
DEBUFF,1272867,Aura of Light,16
DEBUFF,1296967,Void Fissure,16
BUFF,121308,Disguise,15
DEBUFF,270492,Hex,15
DEBUFF,349627,Gluttony,15
DEBUFF,355915,Glyph of Restraint,15
BUFF,434793,Resonant Barrage,15
DEBUFF,439200,Voracious Bite,15
DEBUFF,1221190,Gluttonous Miasma,15
BUFF,1221532,Erratic Ritual,15
DEBUFF,1225221,Dread of the Unknown,15
DEBUFF,1228181,Devouring Void,15
DEBUFF,1234344,Devoured,15
BUFF,1235659,Blinding Zealotry,15
DEBUFF,1248721,Tyr's Wrath,15
DEBUFF,1254836,Reality Break,15
DEBUFF,1269520,Massive Freezing Trap,15
DEBUFF,1298917,Champion's Spear,15
DEBUFF,1298922,Savage Smash,15
DEBUFF,132951,Flare,14
DEBUFF,352345,Anchor Shot,14
BUFF,388602,Ride Along,14
DEBUFF,461994,Deflagration,14
BUFF,465827,Warp Blood,14
DEBUFF,469800,Overcharge,14
BUFF,474407,Arcane Empowerment,14
BUFF,1223000,Embrace of K'aresh,14
DEBUFF,1236126,Binding Javelin,14
DEBUFF,1237888,Demoralizing Roar,14
DEBUFF,1239111,Aspect of the End,14
DEBUFF,1249265,Umbral Collapse,14
DEBUFF,1255453,Gravity Collapse,14
DEBUFF,1302158,Flame Shock,14
DEBUFF,355641,Scintillate,13
DEBUFF,357827,Frantic Rip,13
DEBUFF,433781,Ceaseless Swarm,13
BUFF,1214780,Maximum Distortion,13
BUFF,1243075,The Chaplain's Blessing,13
BUFF,1244446,Force Multiplier,13
DEBUFF,1260203,Umbral Collapse,13
DEBUFF,1265842,Impaled,13
BUFF,1272855,Starcursed Voidstrider,13
DEBUFF,1279512,Starsplinter,13
DEBUFF,1284527,Galvanize,13
BUFF,7870,Lesser Invisibility,12
DEBUFF,154132,Fiery Smash,12
BUFF,155256,Elemental Slayer,12
BUFF,273641,Stealth,12
DEBUFF,355465,Boulder Throw,12
DEBUFF,355480,Lethal Force,12
DEBUFF,381526,Roaring Firebreath,12
BUFF,448385,Bound by Fate,12
BUFF,1228325,Call of the Void,12
DEBUFF,1231224,Arcane Slash,12
DEBUFF,1232470,Grasp of Emptiness,12
BUFF,1247050,Fluorescent Shield,12
BUFF,1251390,Safeguard,12
DEBUFF,1281780,Domineer,12
DEBUFF,1298933,Savage Smash,12
BUFF,35079,Misdirection,11
BUFF,44427,Enrage,11
BUFF,148540,Snow Storm,11
DEBUFF,348366,Armed Security,11
DEBUFF,460965,Barreling Charge,11
DEBUFF,474075,Heaving Chop,11
DEBUFF,1224773,Oceanic Vortex,11
DEBUFF,1237593,Empowering Darkness,11
BUFF,1243453,Void Convergence,11
DEBUFF,1251213,Twilight Spikes,11
DEBUFF,1262676,Nullbeam,11
BUFF,1271577,Destabilizing Strikes,11
DEBUFF,1300714,Shadowlash,11
BUFF,176458,Song of the Anvil,10
DEBUFF,346116,Shearing Swings,10
BUFF,346959,Purged by Fire,10
DEBUFF,355487,Lethal Force,10
BUFF,355980,Refraction Shield,10
DEBUFF,356930,Chain of Custody,10
DEBUFF,376449,Firestorm,10
BUFF,392118,Studying,10
DEBUFF,427024,Swarm of Enemies,10
DEBUFF,446403,Sacrificial Flame,10
BUFF,456820,Ride Along,10
DEBUFF,465982,Turbo Bolt,10
DEBUFF,1214492,Scathing Review,10
BUFF,1216318,Crimson Glaive,10
DEBUFF,1219535,Rift Claws,10
DEBUFF,1226444,Wounded Fate,10
DEBUFF,1233602,Silverstrike Arrow,10
BUFF,1242180,Lightwarden's Blight,10
DEBUFF,1245919,Alndust Essence,10
DEBUFF,1251857,Judgment,10
BUFF,1253874,Divine Steed,10
DEBUFF,1262283,Dark Rift,10
DEBUFF,1284786,Shadow Phalanx,10
BUFF,346980,Empowered Defense,9
DEBUFF,365127,Stunned,9
DEBUFF,424414,Pierce Armor,9
DEBUFF,428170,Blinding Light,9
DEBUFF,433841,Venom Volley,9
DEBUFF,448787,Purification,9
DEBUFF,1220390,Warp Strike,9
DEBUFF,1226031,Poison Splash,9
DEBUFF,1233865,Null Corona,9
BUFF,1236425,Void Volley,9
DEBUFF,1250719,Void Leash,9
DEBUFF,1264595,Shadowlaser Barrier,9
DEBUFF,1282892,Sickening Bite,9
DEBUFF,267273,Poison Nova,8
DEBUFF,349954,Purification Protocol,8
DEBUFF,351960,Static Cling,8
DEBUFF,355642,Hyperlight Salvo,8
BUFF,375599,Heavy Blizzard,8
DEBUFF,424426,Lunging Strike,8
BUFF,427360,Shattered Defenses,8
BUFF,438494,Alerting Shrill,8
DEBUFF,444824,Dark Ranger's Trap,8
DEBUFF,448515,Divine Judgment,8
BUFF,1219417,Beastmaster's Bond,8
DEBUFF,1227197,Cosmic Blast,8
BUFF,1237844,Umbral Tether,8
BUFF,1239831,Aerial Assault,8
DEBUFF,1248130,Unstable Singularity,8
BUFF,1248674,Sacred Shield,8
BUFF,1249130,Elekk Charge,8
DEBUFF,1249238,Fire Spit,8
DEBUFF,1251571,Berserker Grip,8
BUFF,1253881,Divine Steed,8
DEBUFF,1254959,Alndust Essence,8
DEBUFF,1255612,Dread Breath,8
DEBUFF,1255979,Dread Breath,8
DEBUFF,1263766,Death's Grasp,8
DEBUFF,1265152,Impale,8
DEBUFF,1282724,Dusk Frights,8
DEBUFF,1285510,Starsplinter,8
DEBUFF,1310017,Twisted Curse,8
DEBUFF,2649,Growl,7
BUFF,127801,Composting,7
DEBUFF,374927,Wall of Flames,7
DEBUFF,427621,Impale,7
DEBUFF,432119,Faded,7
DEBUFF,436401,AUGH!,7
DEBUFF,468647,Leaping Spark,7
BUFF,470090,Divided Duo,7
DEBUFF,1214949,Drain Life,7
DEBUFF,1216502,Crimson Glaive,7
BUFF,1234571,Cosmic Infusion,7
DEBUFF,1235641,Raging Squall,7
DEBUFF,1246736,Judgment,7
BUFF,1248165,Recuperate,7
BUFF,1253087,Domineering Presence,7
BUFF,1253723,Divine Steed,7
BUFF,1271432,Pitch Bulwark,7
DEBUFF,1272290,Crunched,7
BUFF,175981,Rain of Slag,6
BUFF,347015,Empowered Defense,6
DEBUFF,347149,Infinite Breath,6
BUFF,347775,Spam Filter,6
DEBUFF,350045,Corrosive Anima,6
DEBUFF,351101,Energy Fragmentation,6
DEBUFF,356011,Beam Splicer,6
BUFF,358919,Static Mace,6
BUFF,385312,Gathering Storm,6
BUFF,444608,Inner Fire,6
DEBUFF,466124,Turbo Charge,6
DEBUFF,468741,Shock Water,6
DEBUFF,1217446,Digestive Spittle,6
DEBUFF,1217882,Bad Omens,6
DEBUFF,1219731,Destabilized,6
DEBUFF,1226492,Ritual Disrupted,6
BUFF,1231244,Unstable Core,6
DEBUFF,1231328,Shattered Core,6
DEBUFF,1233887,Null Corona,6
DEBUFF,1235638,Raging Squall,6
DEBUFF,1236802,Void Fury,6
BUFF,1238262,Thornclaw Leap,6
BUFF,1246165,Aura of Devotion,6
BUFF,1248702,Spirit Protection,6
DEBUFF,1248994,Execution Sentence,6
BUFF,1249620,Death's Dirge,6
BUFF,1254199,Parasite Expulsion,6
BUFF,1262250,Felstorm,6
DEBUFF,1266404,Void Burn,6
DEBUFF,1270564,Vengeful Brand,6
BUFF,1276752,Ruinous Winds,6
DEBUFF,1295191,Dissonance,6
DEBUFF,1299210,Aftershock,6
DEBUFF,50245,Pin,5
BUFF,54216,Master's Call,5
BUFF,62305,Master's Call,5
DEBUFF,80354,Temporal Displacement,5
BUFF,195776,Moonfeather Fever,5
BUFF,263867,Obsidian Skin,5
BUFF,263892,Catlike Reflexes,5
DEBUFF,345770,Impound Contraband,5
DEBUFF,356943,Lockdown,5
BUFF,390599,Post-Haste,5
BUFF,392063,Studying,5
DEBUFF,435165,Blazing Strike,5
BUFF,438883,Call of the Brood,5
BUFF,440751,Ride Along,5
BUFF,444546,Purify,5
DEBUFF,448248,Revolting Volley,5
DEBUFF,451764,Radiant Flame,5
DEBUFF,456057,Vile Putrescence,5
BUFF,457797,Resupplied,5
BUFF,457913,Wind at Your Back,5
DEBUFF,465813,Lethargic Venom,5
DEBUFF,1215071,Electrified Water,5
DEBUFF,1225179,Ceremonial Dagger,5
BUFF,1228127,Macestorm,5
BUFF,1241102,On the Hunt,5
DEBUFF,1245486,Corrupted Devastation,5
BUFF,1246175,Entropic Unraveling,5
DEBUFF,1246391,Forbearance,5
BUFF,1248450,Aura of Wrath,5
BUFF,1256683,Shroud of Sorrow,5
BUFF,1258799,Three-Headed Slam,5
DEBUFF,1259186,Blisterburst,5
BUFF,1259900,Dark Upheaval,5
BUFF,1262651,Nullbeam,5
DEBUFF,1271679,Shade Bomb,5
BUFF,1272853,Waycrest Gryphon,5
DEBUFF,1279002,Blast Wave,5
DEBUFF,1282470,Dark Quasar,5
DEBUFF,1297034,Electrified Ground,5
DEBUFF,1299133,Ferocious Leap,5
DEBUFF,1307915,Ravenous Stomp,5
BUFF,34189,Stealth,4
BUFF,50106,Disease Cloud,4
BUFF,68054,Pressing Engagement,4
BUFF,160007,Updraft,4
BUFF,166302,Killing Time,4
BUFF,267077,Explode,4
DEBUFF,346329,Spilled Liquids,4
BUFF,346742,Fan Mail,4
DEBUFF,346962,Money Order,4
DEBUFF,347094,Titanic Crash,4
BUFF,348128,Fully Armed,4
DEBUFF,348450,Bypass Code: Fryse,4
DEBUFF,349934,Flagellation Protocol,4
BUFF,350086,Whirling Annihilation,4
DEBUFF,350101,Chains of Damnation,4
BUFF,351086,Power Overwhelming,4
DEBUFF,423015,Castigator's Shield,4
BUFF,434408,Eye of the Swarm,4
